,096530,111R2000,005930,1CLR2000,cash,commission,total_value,datetime
37,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:26.838358
38,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:27.840580
39,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:28.841798
40,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:29.844034
41,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:30.849271
42,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:31.847539
43,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:32.849810
44,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:33.851097
45,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:34.853321
46,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:35.854571
47,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:36.857793
48,0.0,0.0,0.0,0.0,9800269.0,0.0,9800269.0,2021-02-08 14:39:37.859015
49,0.0,0.0,0.0,0.0,9800269.0,0.0,9800269.0,2021-02-08 14:39:38.859250
50,0.0,0.0,0.0,0.0,9800269.0,0.0,9800269.0,2021-02-08 14:39:39.862000
51,0.0,0.0,0.0,0.0,9800269.0,0.0,9800269.0,2021-02-08 14:39:40.863037
52,0.0,0.0,83300.0,0.0,9716869.0,0.0,9800169.0,2021-02-08 14:39:41.864535
53,0.0,0.0,83300.0,0.0,9716869.0,0.0,9800169.0,2021-02-08 14:39:42.866372
54,181500.0,0.0,83400.0,0.0,9535369.0,0.0,9800269.0,2021-02-08 14:39:43.868196
55,181500.0,0.0,83300.0,0.0,9535369.0,0.0,9800169.0,2021-02-08 14:39:44.870863
56,181500.0,0.0,83400.0,0.0,9535369.0,0.0,9800269.0,2021-02-08 14:39:45.872165
57,181300.0,0.0,83400.0,0.0,9535369.0,0.0,9800069.0,2021-02-08 14:39:46.873697
58,181200.0,0.0,83400.0,0.0,9535369.0,0.0,9799969.0,2021-02-08 14:39:47.875997
59,181100.0,0.0,83300.0,0.0,9535369.0,0.0,9799769.0,2021-02-08 14:39:48.677767
60,181200.0,0.0,83400.0,0.0,9535369.0,0.0,9799969.0,2021-02-08 14:39:49.680042
61,181200.0,0.0,0.0,0.0,9451718.8,250.20000000000002,9632918.8,2021-02-08 14:39:50.681290
62,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:51.683104
63,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:52.684944
64,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:53.687194
65,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:54.688475
66,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:55.890769
67,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:56.892528
68,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:57.693713
69,181200.0,0.0,0.0,0.0,9451718.8,0.0,9632918.8,2021-02-08 14:39:58.695956
70,0.0,0.0,0.0,0.0,9270175.8,543.0,9270175.8,2021-02-08 14:39:59.697681
71,0.0,0.0,0.0,0.0,9270175.8,0.0,9270175.8,2021-02-08 14:40:00.699147
72,0.0,0.0,0.0,0.0,9270175.8,0.0,9270175.8,2021-02-08 14:40:01.701112
73,0.0,0.0,0.0,0.0,9270175.8,0.0,9270175.8,2021-02-08 14:40:02.703386
74,0.0,0.0,0.0,0.0,9270175.8,0.0,9270175.8,2021-02-08 14:40:03.704606
75,0.0,0.0,0.0,0.0,9270175.8,0.0,9270175.8,2021-02-08 14:40:04.706891
