,096530,111R2000,005930,1CLR2000,cash,commission,total_value,datetime
0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,
1,,,,,9800269.0,0.0,,2021-02-08 14:38:54.783933
2,,,0.0,,9800269.0,0.0,,2021-02-08 14:38:55.083008
3,,,0.0,,9800269.0,0.0,,2021-02-08 14:38:55.086007
4,,,0.0,,9800269.0,0.0,,2021-02-08 14:38:55.284043
5,,,0.0,,9800269.0,0.0,,2021-02-08 14:38:55.286044
6,,,0.0,,9800269.0,0.0,,2021-02-08 14:38:55.784156
7,0.0,,0.0,,9800269.0,0.0,,2021-02-08 14:38:56.786388
8,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:38:57.787637
9,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:38:58.789354
10,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:38:59.790578
11,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:00.792837
12,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:01.793577
13,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:02.795809
14,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:03.796531
15,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:04.798810
16,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:05.800121
17,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:06.801856
18,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:07.803113
19,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:08.804396
20,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:09.806674
21,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:10.807888
22,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:11.810121
23,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:12.812451
24,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:13.813681
25,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:14.814904
26,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:15.817134
27,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:16.818625
28,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:17.820855
29,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:18.822625
30,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:19.822904
31,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:20.826178
32,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:21.828406
33,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:22.830634
34,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:23.832863
35,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:24.833892
36,0.0,0.0,0.0,,9800269.0,0.0,,2021-02-08 14:39:25.836109
