,111R2000,1CLR2000,cash,commission,total_value,datetime
0,0.0,0.0,10000000,0.0,10000000.0,
1,,,9539479,0.0,,2021-02-19 15:59:55.886076
2,,,9539479,0.0,,2021-02-19 15:59:56.085120
3,,,9539479,0.0,,2021-02-19 16:00:00.087878
